Frey_Onset,WIC_Files,Frey_MLAT,Frey_MLT,SH1,SH2,SH3,SH1_Files,SH2_Files,SH3_Files
2001-02-08 09:39:54,wic20010390939.idl,64.71,23.44,2001-02-08 09:37:25,2001-02-08 09:39:01,2001-02-08 09:39:55,vis2001039093725.idl,vis2001039093901.idl,vis2001039093955.idl
2001-02-13 16:10:10,wic20010441610.idl,68.04,22.21,2001-02-13 16:08:30,2001-02-13 16:09:24,2001-02-13 16:10:18,vis2001044160830.idl,vis2001044160924.idl,vis2001044161018.idl
2001-02-15 06:09:07,wic20010460609.idl,66.48,0.11,2001-02-15 06:06:42,2001-02-15 06:07:36,2001-02-15 06:09:12,vis2001046060642.idl,vis2001046060736.idl,vis2001046060912.idl
2001-02-18 06:47:51,wic20010490647.idl,68.8,0.91,2001-02-18 06:46:06,2001-02-18 06:47:42,2001-02-18 06:48:36,vis2001049064606.idl,vis2001049064742.idl,vis2001049064836.idl
2001-02-21 09:18:50,wic20010520918.idl,66.64,21.25,2001-02-21 09:17:24,2001-02-21 09:18:18,2001-02-21 09:19:12,vis2001052091724.idl,vis2001052091818.idl,vis2001052091912.idl
2001-02-25 18:54:51,wic20010561854.idl,67.75,22.78,2001-02-25 18:53:50,2001-02-25 18:54:44,2001-02-25 18:55:38,vis2001056185350.idl,vis2001056185444.idl,vis2001056185538.idl
2001-02-27 07:12:24,wic20010580712.idl,63.46,23.71,2001-02-27 07:10:44,2001-02-27 07:11:38,2001-02-27 07:13:14,vis2001058071044.idl,vis2001058071138.idl,vis2001058071314.idl
2001-02-28 05:41:29,wic20010590541.idl,68.25,22.57,2001-02-28 05:39:43,2001-02-28 05:40:37,2001-02-28 05:41:31,vis2001059053943.idl,vis2001059054037.idl,vis2001059054131.idl
2001-03-03 04:46:46,wic20010620446.idl,69.61,21.95,2001-03-03 04:45:02,2001-03-03 04:45:56,2001-03-03 04:46:50,vis2001062044502.idl,vis2001062044556.idl,vis2001062044650.idl
2001-03-04 15:17:35,wic20010631517.idl,66.1,21.62,2001-03-04 15:16:08,2001-03-04 15:17:02,2001-03-04 15:17:57,vis2001063151608.idl,vis2001063151702.idl,vis2001063151757.idl
2001-03-07 00:37:24,wic20010660037.idl,69.06,23.22,2001-03-07 00:36:05,2001-03-07 00:36:59,2001-03-07 00:37:53,vis2001066003605.idl,vis2001066003659.idl,vis2001066003753.idl
2001-03-07 15:58:07,wic20010661558.idl,66.33,23.06,2001-03-07 15:56:53,2001-03-07 15:57:48,2001-03-07 15:58:42,vis2001066155653.idl,vis2001066155748.idl,vis2001066155842.idl
2001-03-12 23:25:56,wic20010712325.idl,63.22,22.68,2001-03-12 23:24:37,2001-03-12 23:25:31,2001-03-12 23:26:25,vis2001071232437.idl,vis2001071232531.idl,vis2001071232625.idl
2001-04-17 19:12:39,wic20011071912.idl,64.87,0.11,2001-04-17 19:11:11,2001-04-17 19:12:05,2001-04-17 19:12:59,vis2001107191111.idl,vis2001107191205.idl,vis2001107191259.idl
2001-04-19 05:30:02,wic20011090530.idl,66.95,22.5,2001-04-19 05:28:59,2001-04-19 05:29:53,2001-04-19 05:30:47,vis2001109052859.idl,vis2001109052953.idl,vis2001109053047.idl
2001-04-20 18:09:07,wic20011101809.idl,67.68,23.17,2001-04-20 18:08:00,2001-04-20 18:08:54,2001-04-20 18:09:48,vis2001110180800.idl,vis2001110180854.idl,vis2001110180948.idl
2001-04-22 07:49:04,wic20011120749.idl,65.37,23.11,2001-04-22 07:47:45,2001-04-22 07:48:39,2001-04-22 07:49:33,vis2001112074745.idl,vis2001112074839.idl,vis2001112074933.idl
2001-04-23 20:54:53,wic20011132054.idl,67.43,23.48,2001-04-23 20:53:57,2001-04-23 20:54:51,2001-04-23 20:55:45,vis2001113205451.idl,vis2001113205451.idl,vis2001113205545.idl
2001-04-26 20:43:17,wic20011162043.idl,67.43,22.15,2001-04-26 20:41:23,2001-04-26 20:42:17,2001-04-26 20:47:36,vis2001116204123.idl,vis2001116204217.idl,vis2001116204736.idl
2001-05-05 07:21:34,wic20011250721.idl,66.67,22.23,2001-05-05 07:19:56,2001-05-05 07:20:50,2001-05-05 07:21:45,vis2001125071956.idl,vis2001125072050.idl,vis2001125072145.idl
2001-05-07 12:52:40,wic20011271252.idl,65.36,22.25,2001-05-07 12:47:46,2001-05-07 12:48:40,2001-05-07 12:53:59,vis2001127124746.idl,vis2001127124840.idl,vis2001127125359.idl
2001-05-08 07:38:10,wic20011280738.idl,66.28,0.1,2001-05-08 07:36:40,2001-05-08 07:37:34,2001-05-08 07:38:28,vis2001128073640.idl,vis2001128073734.idl,vis2001128073828.idl
2001-05-09 04:35:06,wic20011290435.idl,61.92,21.55,2001-05-09 04:33:26,2001-05-09 04:34:20,2001-05-09 04:35:15,vis2001129043326.idl,vis2001129043420.idl,vis2001129043515.idl
2001-05-12 04:27:42,wic20011320427.idl,65.95,0.25,2001-05-12 04:26:11,2001-05-12 04:27:05,2001-05-12 04:27:59,vis2001132042611.idl,vis2001132042705.idl,vis2001132042759.idl
2001-05-12 21:20:49,wic20011322120.idl,64.02,0.08,2001-05-12 21:19:52,2001-05-12 21:20:46,2001-05-12 21:21:40,vis2001132211952.idl,vis2001132212046.idl,vis2001132212140.idl
2001-05-13 15:27:38,wic20011331527.idl,66.44,23.87,2001-05-13 15:26:42,2001-05-13 15:27:36,2001-05-13 15:28:31,vis2001133152642.idl,vis2001133152736.idl,vis2001133152831.idl
2001-05-18 06:45:29,wic20011380645.idl,68.49,23.73,2001-05-18 06:44:06,2001-05-18 06:45:00,2001-05-18 06:45:54,vis2001138064406.idl,vis2001138064500.idl,vis2001138064554.idl
2001-05-20 14:47:17,wic20011401447.idl,71.18,22.28,2001-05-20 14:46:22,2001-05-20 14:47:15,2001-05-20 14:48:09,vis2001140144622.idl,vis2001140144715.idl,vis2001140144809.idl
2001-05-28 03:29:46,wic20011480329.idl,73.25,19.44,2001-05-28 03:28:01,2001-05-28 03:28:56,2001-05-28 03:29:50,vis2001148032801.idl,vis2001148032856.idl,vis2001148032950.idl
2001-06-09 07:48:49,wic20011600748.idl,63.65,0.41,2001-06-09 07:47:14,2001-06-09 07:48:08,2001-06-09 07:49:02,vis2001160074714.idl,vis2001160074808.idl,vis2001160074902.idl
2001-06-10 21:30:16,wic20011612130.idl,69.72,20.83,2001-06-10 21:28:46,2001-06-10 21:29:40,2001-06-10 21:30:34,vis2001161212846.idl,vis2001161212940.idl,vis2001161213034.idl
2001-06-13 02:58:11,wic20011640258.idl,67.6,22.3,2001-06-13 02:57:02,2001-06-13 02:57:56,2001-06-13 02:58:50,vis2001164025702.idl,vis2001164025756.idl,vis2001164025850.idl
2001-07-02 04:29:18,wic20011830429.idl,66.81,0.22,2001-07-02 04:27:37,2001-07-02 04:28:31,2001-07-02 04:29:25,vis2001183042737.idl,vis2001183042831.idl,vis2001183042925.idl
2001-07-05 06:04:23,wic20011860604.idl,69.14,20.96,2001-07-05 06:02:51,2001-07-05 06:03:45,2001-07-05 06:04:40,vis2001186060251.idl,vis2001186060440.idl,vis2001186060440.idl
2001-07-07 13:21:31,wic20011881321.idl,68.42,22.03,2001-07-07 13:20:20,2001-07-07 13:21:14,2001-07-07 13:22:08,vis2001188132020.idl,vis2001188132114.idl,vis2001188132208.idl
2001-07-18 05:48:26,wic20011990548.idl,69.14,20.54,2001-07-18 05:47:29,2001-07-18 05:48:23,2001-07-18 05:50:11,vis2001199054729.idl,vis2001199054823.idl,vis2001199055011.idl
2001-07-23 13:12:43,wic20012041312.idl,67.08,21.71,2001-07-23 13:11:42,2001-07-23 13:12:36,2001-07-23 13:13:30,vis2001204131142.idl,vis2001204131236.idl,vis2001204131330.idl
2001-07-24 06:53:52,wic20012050653.idl,67.97,22.12,2001-07-24 06:52:49,2001-07-24 06:53:43,2001-07-24 06:54:37,vis2001205065249.idl,vis2001205065343.idl,vis2001205065437.idl
2001-07-31 22:23:59,wic20012122223.idl,63.8,23.79,2001-07-31 22:23:01,2001-07-31 22:23:55,2001-07-31 22:24:49,vis2001212222301.idl,vis2001212222355.idl,vis2001212222449.idl
2001-08-01 00:39:07,wic20012130039.idl,64.87,22.79,2001-08-01 00:37:42,2001-08-01 00:38:36,2001-08-01 00:39:30,vis2001213003742.idl,vis2001213003836.idl,vis2001213003930.idl
2001-08-01 16:03:02,wic20012131603.idl,65.96,0.19,2001-08-01 16:01:32,2001-08-01 16:02:26,2001-08-01 16:03:20,vis2001213160132.idl,vis2001213160226.idl,vis2001213160320.idl
2001-08-03 04:47:39,wic20012150447.idl,70.1,21.91,2001-08-03 04:46:42,2001-08-03 04:47:36,2001-08-03 04:48:30,vis2001215044642.idl,vis2001215044736.idl,vis2001215044830.idl
2001-08-03 07:08:55,wic20012150708.idl,68.73,22.55,2001-08-03 07:07:06,2001-08-03 07:08:00,2001-08-03 07:08:55,vis2001215070706.idl,vis2001215070800.idl,vis2001215070855.idl
2001-08-03 23:09:40,wic20012152309.idl,66.71,23.9,2001-08-03 23:07:55,2001-08-03 23:08:50,2001-08-03 23:09:44,vis2001215230755.idl,vis2001215230850.idl,vis2001215230944.idl
2001-08-07 01:19:07,wic20012190119.idl,67.71,21.66,2001-08-07 01:17:49,2001-08-07 01:18:43,2001-08-07 01:19:37,vis2001219011749.idl,vis2001219011843.idl,vis2001219011937.idl
2001-08-13 22:34:02,wic20012252234.idl,63.98,0.96,2001-08-13 22:32:51,2001-08-13 22:33:45,2001-08-13 22:34:39,vis2001225223251.idl,vis2001225223345.idl,vis2001225223439.idl
2001-08-14 16:08:51,wic20012261608.idl,68.86,21.9,2001-08-14 16:07:40,2001-08-14 16:08:34,2001-08-14 16:09:28,vis2001226160740.idl,vis2001226160834.idl,vis2001226160928.idl
2001-08-17 16:25:08,wic20012291625.idl,62.46,22.66,2001-08-17 16:24:13,2001-08-17 16:25:07,2001-08-17 16:26:01,vis2001229162413.idl,vis2001229162507.idl,vis2001229162601.idl
2001-08-23 01:47:49,wic20012350147.idl,63.71,22.88,2001-08-23 01:46:50,2001-08-23 01:47:44,2001-08-23 01:48:38,vis2001235014650.idl,vis2001235014744.idl,vis2001235014838.idl
2001-08-31 10:11:06,wic20012431011.idl,62.17,23.88,2001-08-31 10:09:56,2001-08-31 10:10:50,2001-08-31 10:11:44,vis2001243100956.idl,vis2001243101050.idl,vis2001243101144.idl
2001-09-05 00:06:33,wic20012480006.idl,66.05,1.5,2001-09-05 00:05:30,2001-09-05 00:06:24,2001-09-05 00:07:18,vis2001248000530.idl,vis2001248000624.idl,vis2001248000718.idl
2001-09-08 01:18:08,wic20012510118.idl,65.09,22.88,2001-09-08 01:16:55,2001-09-08 01:17:49,2001-09-08 01:18:43,vis2001251011655.idl,vis2001251011749.idl,vis2001251011843.idl
2001-09-10 08:30:39,wic20012530830.idl,68.4,23.71,2001-09-10 08:29:32,2001-09-10 08:30:26,2001-09-10 08:31:21,vis2001253082932.idl,vis2001253083026.idl,vis2001253083121.idl
2001-09-11 02:21:08,wic20012540221.idl,67.68,22.89,2001-09-11 02:20:08,2001-09-11 02:21:02,2001-09-11 02:21:56,vis2001254022008.idl,vis2001254022102.idl,vis2001254022156.idl
2001-10-09 07:49:14,wic20012820749.idl,63.9,20.77,2001-10-09 07:48:06,2001-10-09 07:49:00,2001-10-09 07:49:54,vis2001282074806.idl,vis2001282074900.idl,vis2001282074954.idl
2001-10-10 01:25:03,wic20012830125.idl,63.56,21.88,2001-10-10 01:24:01,2001-10-10 01:24:55,2001-10-10 01:26:31,vis2001283012401.idl,vis2001283012455.idl,vis2001283012631.idl
2001-10-21 16:48:22,wic20012941648.idl,66.93,22.76,2001-10-21 16:46:51,2001-10-21 16:47:45,2001-10-21 16:48:39,vis2001294164651.idl,vis2001294164745.idl,vis2001294164839.idl
2001-10-22 07:18:16,wic20012950718.idl,55.07,21.73,2001-10-22 07:17:17,2001-10-22 07:18:11,2001-10-22 07:19:04,vis2001295071717.idl,vis2001295071811.idl,vis2001295071904.idl
2001-10-22 10:44:56,wic20012951044.idl,58.61,21.92,2001-10-22 10:43:34,2001-10-22 10:44:28,2001-10-22 10:45:22,vis2001295104334.idl,vis2001295104428.idl,vis2001295104522.idl
